,day,month,year,srH,srM,ssH,ssM
0,1,9,2019,6,16,19,55
1,2,9,2019,6,18,19,53
2,3,9,2019,6,20,19,50
3,4,9,2019,6,21,19,48
4,5,9,2019,6,23,19,46
5,6,9,2019,6,24,19,43
6,7,9,2019,6,26,19,41
7,8,9,2019,6,28,19,39
8,9,9,2019,6,29,19,36
9,10,9,2019,6,31,19,34
10,11,9,2019,6,33,19,32
11,12,9,2019,6,34,19,29
12,13,9,2019,6,36,19,27
13,14,9,2019,6,38,19,24
14,15,9,2019,6,39,19,22
15,16,9,2019,6,41,19,20
16,17,9,2019,6,43,19,17
17,18,9,2019,6,44,19,15
18,19,9,2019,6,46,19,13
19,20,9,2019,6,48,19,10
20,21,9,2019,6,49,19,8
21,22,9,2019,6,51,19,5
22,23,9,2019,6,53,19,3
23,24,9,2019,6,55,19,1
24,25,9,2019,6,56,18,58
25,26,9,2019,6,58,18,56
26,27,9,2019,7,0,18,54
27,28,9,2019,7,1,18,51
28,29,9,2019,7,3,18,49
29,30,9,2019,7,5,18,46
30,1,10,2019,7,6,18,44
31,2,10,2019,7,8,18,42
32,3,10,2019,7,10,18,39
33,4,10,2019,7,12,18,37
34,5,10,2019,7,13,18,35
35,6,10,2019,7,15,18,32
36,7,10,2019,7,17,18,30
37,8,10,2019,7,18,18,28
38,9,10,2019,7,20,18,26
39,10,10,2019,7,22,18,23
40,11,10,2019,7,24,18,21
41,12,10,2019,7,25,18,19
42,13,10,2019,7,27,18,17
43,14,10,2019,7,29,18,14
44,15,10,2019,7,31,18,12
45,16,10,2019,7,32,18,10
46,17,10,2019,7,34,18,8
47,18,10,2019,7,36,18,5
48,19,10,2019,7,38,18,3
49,20,10,2019,7,40,18,1
50,21,10,2019,7,41,17,59
51,22,10,2019,7,43,17,57
52,23,10,2019,7,45,17,55
53,24,10,2019,7,47,17,53
54,25,10,2019,7,49,17,51
55,26,10,2019,7,50,17,49
56,27,10,2019,6,52,16,47
57,28,10,2019,6,54,16,45
58,29,10,2019,6,56,16,43
59,30,10,2019,6,58,16,41
60,31,10,2019,7,0,16,39
